name,category,price_range,estado,texto_recomendacao_limpo
picanharia do chef,brasileira,cheapest,am,picanharia do chef brasileira cheapest am
super guloso delivery,lanches,cheap,am,super guloso delivery lanches cheap am
mega lanche,lanches,cheap,am,mega lanche lanches cheap am
delicias típicas variadas,variada,expensive,am,delicias tipicas variadas variada expensive am
lanche do alex,lanches,cheapest,am,lanche do alex lanches cheapest am
sabor caseiro da val,brasileira,cheap,am,sabor caseiro da val brasileira cheap am
pizza top,pizza,cheapest,am,pizza top pizza cheapest am
leopol - bagueteria,lanches,cheapest,am,leopol bagueteria lanches cheapest am
peixaria do nilson,peixes,cheapest,am,peixaria do nilson peixes cheapest am
chef burguer,lanches,cheap,am,chef burguer lanches cheap am
comemorar doces e salgados,lanches,cheapest,am,comemorar doces e salgados lanches cheapest am
hambúrgueria parque 10,lanches,moderate,am,hamburgueria parque 10 lanches moderate am
lanche do grilo,lanches,cheapest,am,lanche do grilo lanches cheapest am
super sushi express,japonesa,cheap,am,super sushi express japonesa cheap am
amado café,cafeteria,cheapest,am,amado cafe cafeteria cheapest am
king dog,lanches,cheapest,am,king dog lanches cheapest am
gusta food,lanches,cheap,am,gusta food lanches cheap am
g.f lanches,lanches,cheap,am,g f lanches lanches cheap am
castelo lanche,lanches,cheap,am,castelo lanche lanches cheap am
café da diretoria,cafeteria,cheapest,am,cafe da diretoria cafeteria cheapest am
la riqueiros food,brasileira,cheapest,am,la riqueiros food brasileira cheapest am
jj rei do centro,lanches,cheap,am,jj rei do centro lanches cheap am
los pasteles,pastel,cheapest,am,los pasteles pastel cheapest am
hamburgueria steak manaus,lanches,cheapest,am,hamburgueria steak manaus lanches cheapest am
ryanzito's lanche e restaurante,brasileira,cheapest,am,ryanzito s lanche e restaurante brasileira cheapest am
combo das torres,lanches,cheapest,am,combo das torres lanches cheapest am
amazônica café,cafeteria,cheapest,am,amazonica cafe cafeteria cheapest am
pizza del rey,brasileira,cheap,am,pizza del rey brasileira cheap am
liga do hamburguer,lanches,cheap,am,liga do hamburguer lanches cheap am
rei do combo,brasileira,cheap,am,rei do combo brasileira cheap am
